Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
3,Nouns,3,3,8,2,A,DiffSubj,chirurg,huisarts,27
3,Nouns,4,3,2,3,A,DiffPred,dirigent,dirigent,300
3,Nouns,5,4,2,1,A,DiffPred,scholier,scholier,297
3,Nouns,6,1,1,3,A,DiffPred,slachtoffer,slachtoffer,300
3,Nouns,7,1,3,3,A,DiffSubj,psycholoog,kind,-246
3,Nouns,8,3,2,4,A,DiffSubj,dirigent,brandweerman,-285
3,Nouns,9,4,8,1,A,DiffSubj,stalker,crimineel,93
3,Nouns,10,1,1,3,A,DiffSubj,slachtoffer,inspecteur,-255
3,Nouns,11,3,7,2,A,DiffSubj,goochelaar,acrobaat,105
3,Nouns,12,4,8,3,A,DiffPred,verpleegster,verpleegster,300
3,Nouns,13,3,8,3,A,DiffPred,minister,minister,300
3,Nouns,14,4,6,2,A,DiffSubj,groenteman,slager,105
3,Nouns,15,2,7,4,A,DiffSubj,moordenaar,activist,-204
3,Nouns,16,4,7,2,A,DiffPred,agent,agent,300
3,Nouns,17,1,3,3,A,DiffSubj,kind,psycholoog,-267
3,Nouns,18,2,3,1,A,DiffSubj,hertog,koning,114
3,Nouns,19,1,1,2,A,DiffPred,vader,vader,300
3,Nouns,20,4,2,4,A,DiffPred,slaaf,slaaf,300
3,Nouns,21,2,2,4,A,DiffSubj,slaaf,meester,42
3,Nouns,22,4,1,4,A,DiffPred,schrijver,schrijver,300
3,Nouns,23,1,1,3,A,DiffSubj,inspecteur,slachtoffer,-240
3,Nouns,24,1,1,1,A,DiffSubj,moeder,vader,147
3,Nouns,25,3,2,1,A,DiffPred,zanger,zanger,300
3,Nouns,26,3,8,1,A,DiffPred,chirurg,chirurg,300
3,Nouns,27,2,6,1,A,DiffPred,slager,slager,294
3,Nouns,28,2,3,4,A,DiffSubj,smid,piraat,-300
3,Nouns,29,4,6,2,A,DiffSubj,slager,groenteman,96
3,Nouns,30,2,3,1,A,DiffPred,hertog,hertog,300
3,Nouns,31,1,3,1,A,DiffPred,machinist,machinist,300
3,Nouns,32,2,6,4,A,DiffPred,kapper,kapper,300
3,Nouns,33,3,7,2,A,DiffSubj,acrobaat,goochelaar,120
3,Nouns,34,3,7,3,A,DiffSubj,orthodontist,gijzelaar,-300
3,Nouns,35,4,8,1,A,DiffPred,crimineel,crimineel,300
3,Nouns,36,2,1,1,A,DiffSubj,jongen,meisje,129
3,Nouns,37,4,8,1,A,DiffSubj,crimineel,stalker,54
3,Nouns,38,3,8,3,A,DiffPred,dief,dief,300
3,Nouns,39,4,8,3,A,DiffPred,leraar,leraar,300
3,Nouns,40,3,6,3,A,DiffPred,acteur,acteur,300
3,Nouns,41,3,2,1,A,DiffPred,gitarist,gitarist,300
3,Nouns,42,2,1,1,A,DiffSubj,meisje,jongen,84
3,Nouns,43,3,7,2,A,DiffPred,acrobaat,acrobaat,300
3,Nouns,44,1,7,4,A,DiffPred,gijzelaar,gijzelaar,300
3,Nouns,45,1,6,2,A,DiffSubj,prinses,prins,81
3,Nouns,46,3,2,4,A,DiffSubj,brandweerman,dirigent,-300
3,Nouns,47,1,1,2,A,DiffPred,moeder,moeder,300
3,Nouns,48,1,6,4,A,DiffSubj,acteur,bezoeker,-282
3,Nouns,49,4,7,2,A,DiffPred,monteur,monteur,300
3,Nouns,50,2,1,1,A,DiffPred,jongen,jongen,300
3,Nouns,51,2,3,4,A,DiffSubj,piraat,smid,-300
3,Nouns,52,2,6,1,A,DiffPred,groenteman,groenteman,300
3,Nouns,53,3,7,3,A,DiffSubj,gijzelaar,orthodontist,-300
3,Nouns,54,4,2,2,A,DiffSubj,scholier,student,213
3,Nouns,55,3,8,4,A,DiffSubj,minister,dief,-300
3,Nouns,56,4,8,1,A,DiffPred,stalker,stalker,300
3,Nouns,57,1,7,4,A,DiffPred,orthodontist,orthodontist,300
3,Nouns,58,3,3,2,A,DiffSubj,machinist,conducteur,147
3,Nouns,59,4,6,3,A,DiffSubj,kapper,jager,-300
3,Nouns,60,4,1,4,A,DiffPred,redacteur,redacteur,300
3,Nouns,61,1,1,1,A,DiffSubj,vader,moeder,117
3,Nouns,62,2,8,4,A,DiffSubj,verpleegster,leraar,-243
3,Nouns,63,4,7,4,A,DiffPred,moordenaar,moordenaar,300
3,Nouns,64,4,2,4,A,DiffPred,meester,meester,297
3,Nouns,65,1,3,3,A,DiffPred,psycholoog,psycholoog,300
3,Nouns,66,1,3,1,A,DiffPred,conducteur,conducteur,300
3,Nouns,67,2,6,4,A,DiffPred,jager,jager,300
3,Nouns,68,2,2,4,A,DiffSubj,meester,slaaf,-159
3,Nouns,69,3,8,2,A,DiffSubj,huisarts,chirurg,45
3,Nouns,70,2,7,1,A,DiffSubj,agent,monteur,-300
3,Nouns,71,3,6,2,A,DiffPred,prins,prins,300
3,Nouns,72,4,7,4,A,DiffPred,activist,activist,300
3,Nouns,73,2,3,4,A,DiffPred,piraat,piraat,300
3,Nouns,74,1,1,3,A,DiffPred,inspecteur,inspecteur,300
3,Nouns,75,2,3,1,A,DiffPred,koning,koning,300
3,Nouns,76,3,6,2,A,DiffPred,prinses,prinses,300
3,Nouns,77,3,8,1,A,DiffPred,huisarts,huisarts,300
3,Nouns,78,4,1,4,A,DiffSubj,redacteur,schrijver,-90
3,Nouns,79,2,8,4,A,DiffSubj,leraar,verpleegster,-279
3,Nouns,80,3,8,4,A,DiffSubj,dief,minister,-300
3,Nouns,81,3,3,2,A,DiffSubj,conducteur,machinist,129
3,Nouns,82,4,6,3,A,DiffSubj,jager,kapper,-300
3,Nouns,83,4,2,2,A,DiffSubj,student,scholier,189
3,Nouns,84,2,7,4,A,DiffSubj,activist,moordenaar,-282
3,Nouns,85,2,1,1,A,DiffPred,meisje,meisje,300
3,Nouns,86,3,2,1,A,DiffSubj,zanger,gitarist,57
3,Nouns,87,4,1,4,A,DiffSubj,schrijver,redacteur,-156
3,Nouns,88,2,3,4,A,DiffPred,smid,smid,297
3,Nouns,89,2,7,1,A,DiffSubj,monteur,agent,-300
3,Nouns,90,4,2,1,A,DiffPred,student,student,300
3,Nouns,91,1,6,2,A,DiffSubj,prins,prinses,129
3,Nouns,92,3,2,3,A,DiffPred,brandweerman,brandweerman,300
3,Nouns,93,3,7,2,A,DiffPred,goochelaar,goochelaar,300
3,Nouns,94,3,2,1,A,DiffSubj,gitarist,zanger,126
3,Nouns,95,1,6,4,A,DiffSubj,bezoeker,acteur,-300
3,Nouns,96,1,3,3,A,DiffPred,kind,kind,300
3,Predicates,1,4,6,1,A,DiffSubj,fantastische,fantastische,300
3,Predicates,2,4,2,1,A,DiffPred,glanzende,glimmende,273
3,Predicates,3,4,1,4,A,DiffPred,onbeleefde,botte,141
3,Predicates,4,1,8,4,V,DiffPred,typt,veroordeelt,-300
3,Predicates,5,2,2,1,V,DiffPred,controleert,onderzoekt,171
3,Predicates,6,1,3,1,V,DiffSubj,hypnotiseert,hypnotiseert,300
3,Predicates,7,2,6,1,A,DiffPred,energieke,vermoeide,-300
3,Predicates,8,3,8,2,V,DiffPred,springt,valt,42
